SalesOrderID,OrderDate,CustomerID,EmployeeID
1,2023-01-01,6,5
2,2023-01-02,6,2
3,2023-01-03,10,7
4,2023-01-04,7,8
5,2023-01-05,8,6
6,2023-01-06,9,8
7,2023-01-07,8,3
8,2023-01-08,7,2
9,2023-01-09,1,4
10,2023-01-10,2,4
11,2023-01-11,10,5
12,2023-01-12,8,10
13,2023-01-13,3,10
14,2023-01-14,5,5
15,2023-01-15,2,8
16,2023-01-16,7,9
17,2023-01-17,3,2
18,2023-01-18,9,5
19,2023-01-19,2,10
20,2023-01-20,9,7
21,2023-01-21,6,6
22,2023-01-22,7,8
23,2023-01-23,2,9
24,2023-01-24,3,3
25,2023-01-25,2,7
26,2023-01-26,8,9
27,2023-01-27,3,4
28,2023-01-28,8,5
29,2023-01-29,6,10
30,2023-01-30,4,5
31,2023-01-31,8,4
32,2023-02-01,9,9
33,2023-02-02,7,3
34,2023-02-03,7,7
35,2023-02-04,2,4
36,2023-02-05,10,9
37,2023-02-06,8,6
38,2023-02-07,4,9
39,2023-02-08,4,3
40,2023-02-09,6,4
41,2023-02-10,2,3
42,2023-02-11,4,9
43,2023-02-12,6,6
44,2023-02-13,10,4
45,2023-02-14,2,7
46,2023-02-15,5,6
47,2023-02-16,7,4
48,2023-02-17,7,5
49,2023-02-18,1,3
50,2023-02-19,1,9
51,2023-02-20,10,1
52,2023-02-21,2,6
53,2023-02-22,2,4
54,2023-02-23,8,9
55,2023-02-24,6,2
56,2023-02-25,5,4
57,2023-02-26,9,3
58,2023-02-27,9,7
59,2023-02-28,5,10
60,2023-03-01,2,6
61,2023-03-02,7,10
62,2023-03-03,4,7
63,2023-03-04,1,8
64,2023-03-05,4,1
65,2023-03-06,6,2
66,2023-03-07,1,10
67,2023-03-08,9,10
68,2023-03-09,3,8
69,2023-03-10,9,10
70,2023-03-11,2,6
71,2023-03-12,10,10
72,2023-03-13,6,8
73,2023-03-14,1,9
74,2023-03-15,9,7
75,2023-03-16,9,10
76,2023-03-17,8,2
77,2023-03-18,8,8
78,2023-03-19,10,10
79,2023-03-20,5,2
80,2023-03-21,7,1
81,2023-03-22,7,6
82,2023-03-23,1,9
83,2023-03-24,5,6
84,2023-03-25,2,1
85,2023-03-26,4,4
86,2023-03-27,7,10
87,2023-03-28,4,2
88,2023-03-29,10,3
89,2023-03-30,1,10
90,2023-03-31,7,6
91,2023-04-01,7,4
92,2023-04-02,2,10
93,2023-04-03,2,3
94,2023-04-04,6,1
95,2023-04-05,9,7
